                  TOPIC_1	0.97946	                  TOPIC_2	0.01036	                  TOPIC_3	0.01018	

0.34134     0.34134     0.34134     0.34134     0.34134     0.34134     0.34134     0.34134	0.98974	0.34134     0.34134     0.34134     0.34134     0.34134     0.34134     0.34134     0.34134	0.07059	0.81859     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859	0.04924	
0.81859     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859	0.00046	0.34134     0.34134     0.34134     0.34134     0.81859     0.81859     0.81859     0.81859	0.03059	0.34134     0.34134     0.34134     0.34134     0.34134     0.34134     0.34134     0.34134	0.03567	
0.34134     0.34134     0.34134     0.34134     0.34134     0.34134     0.81859     0.81859	0.00042	0.34134     0.34134     0.34134     0.34134     0.81859     0.81859     0.81859     0.99862	0.03059	0.34134     0.34134     0.34134     0.34134     0.34134     0.81859     0.81859     0.81859	0.03567	
0.81859     0.81859     0.81859     0.81859      0.9759      0.9759     0.99862     0.99862	0.00042	0.34134     0.34134     0.34134     0.81859     0.81859     0.81859     0.81859     0.81859	0.03059	0.34134     0.34134     0.34134     0.81859     0.81859     0.81859     0.81859     0.81859	0.03567	
0.34134     0.34134     0.34134     0.34134     0.34134     0.34134     0.34134     0.81859	0.00037	0.34134     0.34134     0.81859     0.81859     0.81859     0.81859     0.81859      0.9759	0.03059	0.34134     0.34134     0.34134     0.34134     0.34134     0.34134     0.34134     0.81859	0.03114	
0.34134     0.81859     0.81859     0.81859     0.99862     0.99862     0.81859     0.81859	0.00032	0.34134     0.34134     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859	0.03059	0.34134     0.34134     0.34134     0.34134     0.81859     0.81859     0.81859     0.81859	0.03114	
0.81859      0.9759      0.9759     0.99862     0.99862      0.9759      0.9759     0.81859	0.00032	0.34134     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859	0.03059	0.34134     0.81859     0.81859     0.81859     0.81859     0.81859     0.81859      0.9759	0.03114	
0.81859     0.81859     0.34134     0.34134     0.34134     0.34134     0.34134     0.34134	0.00032	0.81859      0.9759      0.9759     0.99862     0.99862      0.9759      0.9759     0.81859	0.03059	0.81859     0.34134     0.34134     0.34134     0.34134     0.34134     0.34134     0.34134	0.03114	
0.81859     0.81859     0.81859      0.9759      0.9759      0.9759      0.9759      0.9759	0.00032	0.81859      0.9759      0.9759     0.99862     0.99862      0.9759     0.81859     0.81859	0.03059	0.81859     0.81859     0.81859     0.81859     0.81859     0.34134     0.34134     0.34134	0.03114	
