                  TOPIC_1	0.08528	                  TOPIC_2	0.31723	                  TOPIC_3	0.11480	                  TOPIC_4	0.13885	                  TOPIC_5	0.34383	

                       20	0.09453	                       12	0.07152	                        7	0.07882	                       16	0.08488	                       14	0.06703	
                        4	0.08033	                       17	0.06982	                        5	0.06827	                       15	0.07325	                        7	0.06390	
                       16	0.06770	                        8	0.06515	                       19	0.06397	                        5	0.06485	                       18	0.06350	
                        6	0.06665	                        3	0.06501	                       20	0.05967	                       19	0.06323	                        4	0.06129	
                       10	0.06139	                       19	0.06077	                       15	0.05811	                        6	0.06032	                       13	0.05763	
                        2	0.05823	                       11	0.05921	                        4	0.05420	                       18	0.05935	                        9	0.05724	
                       18	0.05455	                        9	0.05554	                       10	0.05381	                       10	0.05871	                        6	0.05685	
                        1	0.05350	                        1	0.05342	                       16	0.05303	                        8	0.05645	                       15	0.05633	
                       11	0.05350	                        2	0.05327	                       11	0.05147	                       20	0.04837	                       16	0.04837	
                       12	0.04508	                       13	0.05257	                        2	0.04990	                        1	0.04805	                        2	0.04746	
                       19	0.04508	                        5	0.05129	                       18	0.04912	                        4	0.04740	                        1	0.04733	
                        9	0.04403	                       14	0.05087	                        1	0.04834	                        3	0.04611	                       10	0.04576	
                        8	0.04245	                       10	0.04634	                       17	0.04639	                        2	0.04384	                       11	0.04550	
                        7	0.04192	                       20	0.04634	                       13	0.04365	                        9	0.04255	                        3	0.04445	
                       17	0.03824	                        6	0.03842	                       12	0.04209	                       13	0.04158	                       17	0.04289	
                        3	0.03719	                       15	0.03758	                       14	0.03935	                       11	0.03674	                       12	0.04276	
                       13	0.03193	                        7	0.03263	                        3	0.03935	                        7	0.03641	                        5	0.04119	
                        5	0.03193	                       16	0.03065	                        8	0.03740	                       17	0.03254	                       20	0.03976	
                       14	0.02983	                       18	0.03036	                        6	0.03662	                       12	0.02834	                        8	0.03950	
                       15	0.02193	                        4	0.02923	                        9	0.02645	                       14	0.02704	                       19	0.03128	


