                  TOPIC_1	0.08595	                  TOPIC_2	0.31655	                  TOPIC_3	0.11530	                  TOPIC_4	0.13921	                  TOPIC_5	0.34300	

0.28814     0.28814     0.28814     0.28814     0.28814	0.89035	0.28814     0.28814     0.28814     0.28814     0.28814	0.97093	0.28814     0.28814     0.28814     0.28814     0.28814	0.92058	0.28814     0.28814     0.28814     0.28814     0.28814	0.92877	0.28814     0.28814     0.28814     0.28814     0.28814	0.97317	
0.73335     0.73335     0.73335     0.73335     0.73335	0.00918	0.73335     0.73335     0.73335     0.73335     0.73335	0.00249	0.73335     0.73335     0.73335     0.73335     0.73335	0.00685	0.73335     0.73335     0.73335     0.73335     0.73335	0.00823	0.73335     0.73335     0.73335     0.73335     0.73335	0.00217	
0.73335     0.73335     0.28814     0.28814     0.28814	0.00607	0.28814     0.28814     0.28814     0.28814     0.73335	0.00137	0.937       0.937       0.937       0.937       0.937	0.00414	0.73335     0.73335     0.73335     0.28814     0.28814	0.00375	0.937       0.937     0.73335     0.73335     0.73335	0.00139	
0.937       0.937       0.937       0.937       0.937	0.00555	0.73335     0.73335     0.73335     0.73335       0.937	0.00137	0.73335     0.28814     0.28814     0.28814     0.28814	0.00375	0.99928     0.73335     0.28814     0.28814     0.28814	0.00343	0.28814     0.28814     0.28814     0.28814     0.73335	0.00126	
0.28814     0.28814     0.28814     0.28814     0.73335	0.00503	0.99928     0.73335     0.73335     0.28814     0.28814	0.00137	0.73335     0.73335       0.937       0.937       0.937	0.00375	0.28814     0.28814     0.28814     0.28814     0.73335	0.00311	0.28814     0.28814     0.73335     0.73335     0.73335	0.00126	
0.28814     0.28814     0.73335     0.73335     0.73335	0.00503	0.99928     0.73335     0.73335     0.73335     0.28814	0.00137	0.73335     0.73335     0.73335       0.937       0.937	0.00375	0.28814     0.73335     0.73335     0.73335     0.73335	0.00311	0.937       0.937       0.937       0.937       0.937	0.00126	
0.73335     0.28814     0.28814     0.28814     0.28814	0.00503	0.99928     0.73335     0.73335     0.73335     0.73335	0.00137	0.28814     0.28814     0.28814     0.28814     0.73335	0.00336	0.73335     0.73335     0.73335     0.73335       0.937	0.00311	0.99112       0.937       0.937       0.937       0.937	0.00126	
0.73335     0.73335     0.73335     0.73335       0.937	0.00503	0.99928     0.99112     0.99112       0.937       0.937	0.00137	0.28814     0.28814     0.73335     0.73335     0.73335	0.00336	0.937       0.937       0.937       0.937     0.99112	0.00311	0.99112     0.99112     0.99112     0.99112     0.99928	0.00126	
0.99928     0.73335     0.73335     0.28814     0.28814	0.00503	0.28814     0.28814     0.73335     0.73335     0.73335	0.00123	0.28814     0.73335     0.73335     0.73335     0.73335	0.00336	0.937       0.937     0.73335     0.73335     0.73335	0.00311	0.28814     0.73335     0.73335     0.73335     0.73335	0.00113	
0.99928     0.73335     0.73335     0.73335     0.73335	0.00503	0.28814     0.73335     0.73335     0.73335     0.73335	0.00123	0.73335     0.73335     0.28814     0.28814     0.28814	0.00336	0.99112     0.99112       0.937       0.937       0.937	0.00311	0.73335     0.28814     0.28814     0.28814     0.28814	0.00113	
0.28814     0.73335     0.73335     0.73335     0.73335	0.00451	0.73335     0.28814     0.28814     0.28814     0.28814	0.00123	0.73335     0.73335     0.73335     0.28814     0.28814	0.00336	0.99928     0.73335     0.73335     0.28814     0.28814	0.00311	0.73335     0.73335       0.937       0.937       0.937	0.00113	
0.73335     0.73335       0.937       0.937       0.937	0.00451	0.73335     0.73335       0.937       0.937       0.937	0.00123	0.73335     0.73335     0.73335     0.73335       0.937	0.00336	0.99928     0.73335     0.73335     0.73335     0.73335	0.00311	0.73335     0.73335     0.28814     0.28814     0.28814	0.00113	
0.73335     0.73335     0.73335       0.937       0.937	0.00451	0.73335     0.73335     0.28814     0.28814     0.28814	0.00123	0.937       0.937       0.937       0.937     0.99112	0.00336	0.99928     0.99112       0.937       0.937       0.937	0.00311	0.73335     0.73335     0.73335       0.937       0.937	0.00113	
0.73335     0.73335     0.73335     0.28814     0.28814	0.00451	0.73335     0.73335     0.73335       0.937       0.937	0.00123	0.937       0.937     0.73335     0.73335     0.73335	0.00336	0.28814     0.28814     0.73335     0.73335     0.73335	0.00279	0.73335     0.73335     0.73335     0.28814     0.28814	0.00113	
0.937       0.937       0.937       0.937     0.99112	0.00451	0.73335     0.73335     0.73335     0.28814     0.28814	0.00123	0.99112       0.937       0.937       0.937       0.937	0.00336	0.73335     0.28814     0.28814     0.28814     0.28814	0.00279	0.73335     0.73335     0.73335     0.73335       0.937	0.00113	
